geo_id,geo_name,tot_pop,white_pct,black_pct,white_tot,black_tot,generic_location_based_premium,location_effect,is_in_detroit
26027002200,Census Tract 22,5959.0,0.826,0.087,4925.0,520.0,7169.0,0.97,False
26029000100,Census Tract 1,1670.0,0.922,0.002,1540.0,3.0,6260.0,0.84,False
26029000200,Census Tract 2,1313.0,0.952,0.0,1250.0,0.0,6260.0,0.84,False
26029000300,Census Tract 3,2076.0,0.93,0.0,1931.0,1.0,6268.0,0.84,False
26029000400,Census Tract 4,2792.0,0.917,0.0,2561.0,0.0,6260.0,0.84,False
26029000500,Census Tract 5,657.0,0.939,0.0,617.0,0.0,6200.0,0.84,False
26029000800,Census Tract 8,2945.0,0.91,0.002,2679.0,6.0,6260.0,0.84,False
26029000900,Census Tract 9,2043.0,0.958,0.001,1957.0,2.0,6276.0,0.85,False
26029001000,Census Tract 10,2333.0,0.96,0.003,2239.0,7.0,6260.0,0.84,False
26029001100,Census Tract 11,1607.0,0.881,0.0,1415.0,0.0,6260.0,0.84,False
26029001200,Census Tract 12,3215.0,0.927,0.0,2979.0,1.0,6260.0,0.84,False
26029001300,Census Tract 13,1525.0,0.937,0.03,1429.0,45.0,6260.0,0.84,False
26029001400,Census Tract 14,1479.0,0.903,0.0,1336.0,0.0,6408.0,0.86,False
26029001500,Census Tract 15,2519.0,0.917,0.027,2311.0,67.0,6260.0,0.84,False
26031960100,Census Tract 9601,2595.0,0.878,0.019,2279.0,50.0,6843.0,0.92,False
26031960200,Census Tract 9602,2862.0,0.886,0.006,2536.0,16.0,6843.0,0.92,False
26031960300,Census Tract 9603,4095.0,0.911,0.02,3730.0,82.0,6919.0,0.93,False
26031960400,Census Tract 9604,3724.0,0.926,0.003,3449.0,13.0,6911.0,0.93,False
26031960500,Census Tract 9605,2571.0,0.921,0.005,2367.0,13.0,6843.0,0.92,False
26031960600,Census Tract 9606,2408.0,0.887,0.006,2135.0,15.0,6843.0,0.92,False
26031960700,Census Tract 9607,3663.0,0.903,0.004,3308.0,14.0,6796.0,0.92,False
26031960800,Census Tract 9608,3791.0,0.897,0.0,3402.0,0.0,6923.0,0.93,False
26033970100,Census Tract 9701,2983.0,0.696,0.0,2075.0,0.0,4788.0,0.64,False
26033970200,Census Tract 9702,3388.0,0.571,0.002,1933.0,6.0,4788.0,0.64,False
26033970300,Census Tract 9703,3822.0,0.799,0.029,3053.0,112.0,5029.0,0.68,False
26033970400,Census Tract 9704,2659.0,0.66,0.012,1756.0,32.0,4900.0,0.66,False
26033970500,Census Tract 9705,3464.0,0.718,0.0,2488.0,0.0,4788.0,0.64,False
26033970600,Census Tract 9706,5366.0,0.656,0.01,3519.0,56.0,4788.0,0.64,False
26033970700,Census Tract 9707,985.0,0.876,0.0,863.0,0.0,4823.0,0.65,False
26033970800,Census Tract 9708,3704.0,0.837,0.008,3099.0,28.0,4788.0,0.64,False
26033970900,Census Tract 9709,4511.0,0.413,0.159,1865.0,718.0,4788.0,0.64,False
26033971000,Census Tract 9710,2674.0,0.874,0.0,2337.0,0.0,4788.0,0.64,False
26033971100,Census Tract 9711,1464.0,0.944,0.0,1382.0,0.0,4788.0,0.64,False
26035000100,Census Tract 1,1659.0,0.931,0.01,1545.0,17.0,7266.0,0.98,False
26035000200,Census Tract 2,1289.0,0.947,0.003,1221.0,4.0,7341.0,0.99,False
26035000300,Census Tract 3,2249.0,0.89,0.0,2002.0,0.0,7272.0,0.98,False
26035000400,Census Tract 4,3812.0,0.922,0.006,3515.0,22.0,7305.0,0.98,False
26035000500,Census Tract 5,1335.0,0.943,0.0,1259.0,0.0,7266.0,0.98,False
26035000600,Census Tract 6,3946.0,0.924,0.009,3645.0,37.0,7266.0,0.98,False
26035000700,Census Tract 7,3330.0,0.932,0.021,3104.0,71.0,7241.0,0.98,False
26035000800,Census Tract 8,4265.0,0.954,0.0,4069.0,0.0,7266.0,0.98,False
26035000900,Census Tract 9,2115.0,0.94,0.003,1988.0,6.0,7389.0,1.0,False
26035001000,Census Tract 10,3011.0,0.968,0.0,2915.0,0.0,7315.0,0.99,False
26035001300,Census Tract 13,3987.0,0.959,0.014,3825.0,55.0,7266.0,0.98,False
26037010104,Census Tract 101.04,3843.0,0.676,0.036,2598.0,140.0,6441.0,0.87,False
26037010105,Census Tract 101.05,3610.0,0.804,0.04,2902.0,144.0,6441.0,0.87,False
26037010107,Census Tract 101.07,4124.0,0.857,0.008,3535.0,32.0,6441.0,0.87,False
26037010108,Census Tract 101.08,4492.0,0.871,0.003,3911.0,12.0,6441.0,0.87,False
26037010201,Census Tract 102.01,2189.0,0.848,0.04,1857.0,88.0,6441.0,0.87,False
