tr2010ge,tot_pop_wt,white_tot_wt,black_tot_wt,aian_tot_wt,asian_tot_wt,nhopi_tot_wt,other_tot_wt,two_more_tot_wt,latin_tot_wt,white_pct_wt,black_pct_wt,aian_pct_wt,asian_pct_wt,nhopi_pct_wt,other_pct_wt,two_more_pct_wt,latin_pct_wt
26021011000,2841.0,2621.0,19.0,8.0,25.0,0.0,0.0,77.0,91.0,0.923,0.007,0.003,0.009,0.0,0.0,0.027,0.032
26021011100,5678.0,5088.0,56.0,0.0,71.0,0.0,0.0,193.0,270.0,0.896,0.01,0.0,0.013,0.0,0.0,0.034,0.048
26021011200,2783.0,2524.0,13.0,8.0,0.0,0.0,18.0,202.0,18.0,0.907,0.005,0.003,0.0,0.0,0.006,0.073,0.006
26021011300,3789.0,3416.0,21.0,23.0,29.0,0.0,0.0,96.0,204.0,0.902,0.006,0.006,0.008,0.0,0.0,0.025,0.054
26021011400,2220.0,1749.0,5.0,0.0,18.0,0.0,0.0,87.0,361.0,0.788,0.002,0.0,0.008,0.0,0.0,0.039,0.163
26021011500,1352.0,1210.0,9.0,3.0,3.0,0.0,41.0,56.0,30.0,0.895,0.007,0.002,0.002,0.0,0.03,0.041,0.022
26021011600,1825.0,1709.0,3.0,2.0,12.0,0.0,57.0,30.0,12.0,0.936,0.002,0.001,0.007,0.0,0.031,0.016,0.007
26021020100,2523.0,2192.0,126.0,26.0,0.0,0.0,58.0,121.0,0.0,0.869,0.05,0.01,0.0,0.0,0.023,0.048,0.0
26021020200,5191.0,4409.0,255.0,0.0,26.0,0.0,21.0,382.0,98.0,0.849,0.049,0.0,0.005,0.0,0.004,0.074,0.019
26021020300,2612.0,2420.0,0.0,15.0,17.0,0.0,0.0,55.0,105.0,0.926,0.0,0.006,0.007,0.0,0.0,0.021,0.04
26021020400,4094.0,3715.0,95.0,27.0,2.0,0.0,10.0,164.0,81.0,0.907,0.023,0.007,0.0,0.0,0.002,0.04,0.02
26021020500,3161.0,2240.0,502.0,0.0,17.0,0.0,0.0,133.0,269.0,0.709,0.159,0.0,0.005,0.0,0.0,0.042,0.085
26021020600,3595.0,3078.0,226.0,0.0,0.0,0.0,50.0,156.0,85.0,0.856,0.063,0.0,0.0,0.0,0.014,0.043,0.024
26021020700,2869.0,2076.0,580.0,36.0,0.0,0.0,0.0,0.0,177.0,0.724,0.202,0.013,0.0,0.0,0.0,0.0,0.062
26021020900,3787.0,2922.0,360.0,37.0,10.0,0.0,0.0,263.0,195.0,0.772,0.095,0.01,0.003,0.0,0.0,0.069,0.051
26021021000,5150.0,3936.0,476.0,29.0,22.0,0.0,72.0,205.0,410.0,0.764,0.092,0.006,0.004,0.0,0.014,0.04,0.08
26021021100,1885.0,1732.0,24.0,3.0,13.0,0.0,0.0,41.0,72.0,0.919,0.013,0.002,0.007,0.0,0.0,0.022,0.038
26021021200,1689.0,1533.0,9.0,6.0,5.0,0.0,0.0,16.0,120.0,0.908,0.005,0.004,0.003,0.0,0.0,0.009,0.071
26021021300,4147.0,2063.0,552.0,0.0,399.0,2.0,73.0,227.0,831.0,0.497,0.133,0.0,0.096,0.0,0.018,0.055,0.2
26021021400,5043.0,3386.0,608.0,17.0,154.0,1.0,0.0,284.0,593.0,0.671,0.121,0.003,0.031,0.0,0.0,0.056,0.118
26021990000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26023950100,3798.0,3479.0,0.0,6.0,23.0,0.0,2.0,35.0,253.0,0.916,0.0,0.002,0.006,0.0,0.001,0.009,0.067
26023950200,3853.0,3334.0,0.0,2.0,11.0,0.0,4.0,394.0,108.0,0.865,0.0,0.001,0.003,0.0,0.001,0.102,0.028
26023950300,3705.0,3256.0,36.0,7.0,0.0,0.0,23.0,138.0,245.0,0.879,0.01,0.002,0.0,0.0,0.006,0.037,0.066
26023950800,4678.0,4508.0,9.0,11.0,6.0,0.0,0.0,54.0,90.0,0.964,0.002,0.002,0.001,0.0,0.0,0.012,0.019
26023950900,2184.0,2158.0,0.0,0.0,0.0,0.0,0.0,18.0,8.0,0.988,0.0,0.0,0.0,0.0,0.0,0.008,0.004
26023951000,2382.0,2275.0,12.0,24.0,7.0,0.0,0.0,64.0,0.0,0.955,0.005,0.01,0.003,0.0,0.0,0.027,0.0
26023951100,3208.0,3020.0,28.0,5.0,12.0,0.0,0.0,60.0,83.0,0.941,0.009,0.002,0.004,0.0,0.0,0.019,0.026
26023951200,3958.0,3256.0,0.0,19.0,42.0,0.0,0.0,159.0,482.0,0.823,0.0,0.005,0.011,0.0,0.0,0.04,0.122
26023951300,5476.0,4096.0,689.0,7.0,108.0,0.0,44.0,192.0,340.0,0.748,0.126,0.001,0.02,0.0,0.008,0.035,0.062
26023951400,4586.0,4280.0,2.0,0.0,0.0,0.0,0.0,71.0,233.0,0.933,0.0,0.0,0.0,0.0,0.0,0.015,0.051
26023951500,3390.0,3215.0,13.0,0.0,0.0,0.0,0.0,23.0,139.0,0.948,0.004,0.0,0.0,0.0,0.0,0.007,0.041
26023951600,3576.0,2940.0,35.0,5.0,0.0,0.0,0.0,70.0,526.0,0.822,0.01,0.001,0.0,0.0,0.0,0.02,0.147
26025000200,3528.0,2067.0,633.0,0.0,9.0,0.0,0.0,424.0,395.0,0.586,0.179,0.0,0.003,0.0,0.0,0.12,0.112
26025000300,2021.0,846.0,934.0,7.0,68.0,0.0,0.0,115.0,51.0,0.419,0.462,0.003,0.034,0.0,0.0,0.057,0.025
26025000500,3573.0,2554.0,149.0,55.0,0.0,0.0,0.0,211.0,604.0,0.715,0.042,0.015,0.0,0.0,0.0,0.059,0.169
26025000600,2899.0,1494.0,800.0,0.0,134.0,0.0,14.0,94.0,363.0,0.515,0.276,0.0,0.046,0.0,0.005,0.032,0.125
26025000700,2838.0,1615.0,612.0,2.0,0.0,0.0,0.0,370.0,239.0,0.569,0.216,0.001,0.0,0.0,0.0,0.13,0.084
26025000800,2928.0,1743.0,645.0,0.0,14.0,1.0,0.0,222.0,303.0,0.595,0.22,0.0,0.005,0.0,0.0,0.076,0.103
26025000900,3502.0,2854.0,467.0,0.0,30.0,0.0,0.0,86.0,65.0,0.815,0.133,0.0,0.009,0.0,0.0,0.025,0.019
26025001000,3907.0,1457.0,1699.0,0.0,0.0,0.0,172.0,74.0,505.0,0.373,0.435,0.0,0.0,0.0,0.044,0.019,0.129
