bg2010ge,white_tot_wt,black_tot_wt,aian_tot_wt,asian_tot_wt,other_tot_wt,latin_tot_wt,tot_pop_wt,white_pct_wt,black_pct_wt,aian_pct_wt,asian_pct_wt,other_pct_wt,latin_pct_wt
260070001002,710.0,0.0,0.0,0.0,0.0,2.0,712.0,0.997,0.0,0.0,0.0,0.0,0.003
260070001003,837.0,1.0,5.0,0.0,2.0,1.0,846.0,0.989,0.001,0.006,0.0,0.002,0.001
260070001004,1005.0,0.0,0.0,7.0,0.0,0.0,1012.0,0.993,0.0,0.0,0.007,0.0,0.0
260070001005,1127.0,0.0,0.0,0.0,1.0,2.0,1130.0,0.997,0.0,0.0,0.0,0.001,0.002
260070002001,736.0,3.0,6.0,2.0,75.0,0.0,822.0,0.895,0.004,0.007,0.002,0.091,0.0
260070002002,604.0,0.0,0.0,0.0,0.0,0.0,604.0,1.0,0.0,0.0,0.0,0.0,0.0
260070002003,995.0,0.0,0.0,0.0,0.0,16.0,1011.0,0.984,0.0,0.0,0.0,0.0,0.016
260070002004,770.0,0.0,0.0,0.0,0.0,2.0,772.0,0.997,0.0,0.0,0.0,0.0,0.003
260070002005,834.0,0.0,0.0,16.0,0.0,0.0,850.0,0.981,0.0,0.0,0.019,0.0,0.0
260070003001,577.0,0.0,0.0,0.0,0.0,6.0,583.0,0.99,0.0,0.0,0.0,0.0,0.01
260070003002,650.0,0.0,0.0,0.0,0.0,0.0,650.0,1.0,0.0,0.0,0.0,0.0,0.0
260070003003,1296.0,7.0,0.0,0.0,0.0,1.0,1304.0,0.994,0.005,0.0,0.0,0.0,0.001
260070003004,707.0,40.0,0.0,0.0,0.0,0.0,747.0,0.946,0.054,0.0,0.0,0.0,0.0
260070004001,517.0,0.0,0.0,0.0,0.0,0.0,517.0,1.0,0.0,0.0,0.0,0.0,0.0
260070004002,902.0,52.0,7.0,0.0,0.0,82.0,1043.0,0.865,0.05,0.007,0.0,0.0,0.079
260070004003,737.0,11.0,0.0,0.0,0.0,14.0,762.0,0.967,0.014,0.0,0.0,0.0,0.018
260070004004,430.0,0.0,0.0,0.0,0.0,41.0,471.0,0.913,0.0,0.0,0.0,0.0,0.087
260070005001,758.0,0.0,0.0,0.0,0.0,115.0,873.0,0.868,0.0,0.0,0.0,0.0,0.132
260070005002,487.0,31.0,12.0,0.0,0.0,0.0,530.0,0.919,0.058,0.023,0.0,0.0,0.0
260070005003,488.0,0.0,0.0,0.0,0.0,0.0,488.0,1.0,0.0,0.0,0.0,0.0,0.0
260070006001,1311.0,0.0,0.0,13.0,0.0,0.0,1324.0,0.99,0.0,0.0,0.01,0.0,0.0
260070006002,1632.0,14.0,0.0,80.0,0.0,10.0,1736.0,0.94,0.008,0.0,0.046,0.0,0.006
260070007001,903.0,0.0,0.0,13.0,0.0,0.0,916.0,0.986,0.0,0.0,0.014,0.0,0.0
260070007002,1297.0,2.0,0.0,0.0,0.0,43.0,1342.0,0.966,0.001,0.0,0.0,0.0,0.032
260070007003,662.0,7.0,0.0,3.0,0.0,2.0,674.0,0.982,0.01,0.0,0.004,0.0,0.003
260070008001,1221.0,5.0,0.0,0.0,0.0,48.0,1274.0,0.958,0.004,0.0,0.0,0.0,0.038
260070008002,756.0,0.0,0.0,0.0,0.0,22.0,778.0,0.972,0.0,0.0,0.0,0.0,0.028
260070008003,717.0,0.0,0.0,0.0,0.0,19.0,736.0,0.974,0.0,0.0,0.0,0.0,0.026
260070008004,418.0,0.0,0.0,0.0,0.0,11.0,429.0,0.974,0.0,0.0,0.0,0.0,0.026
260070009001,565.0,39.0,0.0,0.0,0.0,1.0,605.0,0.934,0.064,0.0,0.0,0.0,0.002
260070009002,1186.0,0.0,0.0,0.0,19.0,0.0,1205.0,0.984,0.0,0.0,0.0,0.016,0.0
260070009003,807.0,10.0,0.0,0.0,0.0,0.0,817.0,0.988,0.012,0.0,0.0,0.0,0.0
