LOCATION ZONE,Bodily Injury,Property Damage,PIP,NON MED,Collision,Comprehensive,UM - Single Car,UM - Multi Car,UIM - Single Car,UIM - Multi Car
N4331250W08430750,422.90,61.88,"2,493.79",258.07,275.99,31.15,19.68,19.68,26.19,26.19
N4331250W08429250,423.99,63.30,"2,525.44",261.35,276.25,31.37,19.68,19.68,26.19,26.19
N4331250W08427750,423.99,63.30,"2,525.44",261.35,276.25,31.37,19.68,19.68,26.19,26.19
N4331250W08426250,423.99,63.30,"2,525.44",261.35,276.25,31.37,19.68,19.68,26.19,26.19
N4331250W08424750,422.97,62.46,"2,518.00",260.58,276.23,30.95,19.68,19.68,26.19,26.19
N4331250W08423250,423.08,62.55,"2,518.76",260.65,276.23,30.99,19.68,19.68,26.19,26.19
N4331250W08421750,423.99,63.30,"2,525.44",261.35,276.25,31.37,19.68,19.68,26.19,26.19
N4331250W08420250,423.99,63.30,"2,525.44",261.35,276.25,31.37,19.68,19.68,26.19,26.19
N4331250W08418750,423.99,63.30,"2,525.44",261.35,276.25,31.37,19.68,19.68,26.19,26.19
N4331250W08417250,423.99,63.30,"2,525.44",261.35,276.25,31.37,19.68,19.68,26.19,26.19
N4331250W08415750,423.99,63.30,"2,525.44",261.35,276.25,31.37,19.68,19.68,26.19,26.19
N4331250W08414250,423.99,63.30,"2,525.44",261.35,276.25,31.37,19.68,19.68,26.19,26.19
N4331250W08412750,423.99,63.30,"2,525.44",261.35,276.25,31.37,19.68,19.68,26.19,26.19
N4331250W08411250,421.96,61.47,"2,584.37",267.44,278.29,29.47,19.68,19.68,26.19,26.19
N4331250W08409750,413.61,53.91,"2,827.39",292.59,286.69,21.66,19.68,19.68,26.19,26.19
N4331250W08408250,412.67,53.06,"2,854.74",295.42,287.63,20.78,19.68,19.68,26.19,26.19
N4331250W08406750,413.39,53.71,"2,833.87",293.26,286.91,21.45,19.68,19.68,26.19,26.19
N4331250W08405250,413.34,53.67,"2,835.37",293.42,286.96,21.40,19.68,19.68,26.19,26.19
N4331250W08403750,413.30,53.63,"2,836.58",293.54,287.00,21.36,19.68,19.68,26.19,26.19
N4331250W08402250,413.25,53.59,"2,837.89",293.68,287.05,21.32,19.68,19.68,26.19,26.19
N4331250W08400750,414.76,55.30,"2,981.21",308.51,294.10,21.73,19.68,19.68,26.19,26.19
N4331250W08399250,414.89,55.44,"2,987.13",309.12,294.42,21.80,19.68,19.68,26.19,26.19
N4331250W08397750,415.04,55.59,"2,990.70",309.49,294.63,21.89,19.68,19.68,26.19,26.19
N4331250W08396250,415.17,55.71,"2,993.65",309.80,294.81,21.97,19.68,19.68,26.19,26.19
N4331250W08394750,415.28,55.83,"2,996.50",310.09,294.97,22.05,19.68,19.68,26.19,26.19
N4331250W08393250,424.25,63.24,"3,130.75",323.99,285.82,22.34,19.68,19.68,26.19,26.19
N4331250W08391750,431.13,68.88,"3,231.58",334.42,278.28,22.43,19.68,19.68,26.19,26.19
N4331250W08390250,431.13,68.88,"3,231.58",334.42,278.28,22.43,19.68,19.68,26.19,26.19
N4331250W08388750,431.13,68.88,"3,231.58",334.42,278.28,22.43,19.68,19.68,26.19,26.19
N4331250W08387250,431.13,68.88,"3,231.58",334.42,278.28,22.43,19.68,19.68,26.19,26.19
N4331250W08385750,431.13,68.88,"3,231.58",334.42,278.28,22.43,19.68,19.68,26.19,26.19
N4331250W08384250,431.43,62.15,"2,987.58",309.17,282.34,19.49,19.68,19.68,26.19,26.19
N4331250W08382750,431.56,59.20,"2,880.88",298.13,284.11,18.20,19.68,19.68,26.19,26.19
N4331250W08381250,431.60,58.40,"2,851.82",295.12,284.59,17.85,19.68,19.68,26.19,26.19
N4331250W08379750,431.02,59.40,"2,847.33",294.66,283.17,18.46,19.68,19.68,26.19,26.19
N4331250W08378250,429.96,62.91,"2,906.05",300.73,279.70,20.29,19.68,19.68,26.19,26.19
N4331250W08376750,429.78,61.97,"2,854.82",295.43,279.93,19.95,19.68,19.68,26.19,26.19
N4331250W08375250,429.89,62.54,"2,885.52",298.61,279.79,20.15,19.68,19.68,26.19,26.19
N4331250W08373750,429.94,62.84,"2,902.08",300.32,279.72,20.26,19.68,19.68,26.19,26.19
N4331250W08372250,429.94,62.81,"2,900.50",300.16,279.73,20.25,19.68,19.68,26.19,26.19
N4331250W08370750,429.94,62.79,"2,899.43",300.05,279.73,20.24,19.68,19.68,26.19,26.19
N4331250W08369250,421.38,59.90,"3,109.91",321.83,273.19,21.59,19.68,19.68,26.19,26.19
N4331250W08367750,417.44,58.58,"3,207.83",331.96,270.17,22.22,19.68,19.68,26.19,26.19
N4331250W08366250,417.44,58.58,"3,207.83",331.96,270.17,22.22,19.68,19.68,26.19,26.19
N4331250W08364750,417.44,58.58,"3,207.83",331.96,270.17,22.22,19.68,19.68,26.19,26.19
N4331250W08363250,417.44,58.58,"3,207.83",331.96,270.17,22.22,19.68,19.68,26.19,26.19
N4331250W08361750,417.44,58.58,"3,207.83",331.96,270.17,22.22,19.68,19.68,26.19,26.19
N4331250W08360250,418.43,60.23,"3,251.08",336.44,270.49,22.21,19.68,19.68,26.19,26.19
N4331250W08358750,419.37,61.80,"3,292.61",340.74,270.79,22.20,19.68,19.68,26.19,26.19
N4331250W08357250,419.51,62.03,"3,298.52",341.35,270.84,22.20,19.68,19.68,26.19,26.19
N4331250W08355750,426.49,73.64,"3,603.97",372.96,273.08,22.13,19.68,19.68,26.19,26.19
N4331250W08354250,427.14,74.70,"3,632.07",375.87,273.28,22.13,19.68,19.68,26.19,26.19
N4331250W08352750,419.92,62.71,"3,316.52",343.21,270.97,22.19,19.68,19.68,26.19,26.19
N4331250W08351250,420.08,62.97,"3,323.38",343.92,271.02,22.19,19.68,19.68,26.19,26.19
N4331250W08349750,427.35,75.07,"3,641.66",376.86,273.35,22.13,19.68,19.68,26.19,26.19
N4331250W08348250,430.50,80.29,"3,779.07",391.08,274.36,22.10,19.68,19.68,26.19,26.19
N4331250W08346750,430.50,80.29,"3,779.07",391.08,274.36,22.10,19.68,19.68,26.19,26.19
N4331250W08345250,430.50,80.29,"3,779.07",391.08,274.36,22.10,19.68,19.68,26.19,26.19
N4331250W08343750,430.50,80.29,"3,779.07",391.08,274.36,22.10,19.68,19.68,26.19,26.19
N4331250W08342250,430.50,80.29,"3,779.07",391.08,274.36,22.10,19.68,19.68,26.19,26.19
N4331250W08340750,436.64,76.01,"3,827.38",396.08,273.46,25.81,19.68,19.68,26.19,26.19
N4331250W08339250,437.55,75.93,"3,837.20",397.09,274.15,26.23,19.68,19.68,26.19,26.19
N4331250W08337750,436.19,73.75,"3,811.44",394.43,269.70,26.14,19.68,19.68,26.19,26.19
N4331250W08336250,436.10,73.60,"3,809.65",394.24,269.39,26.14,19.68,19.68,26.19,26.19
N4331250W08334750,436.10,73.60,"3,809.65",394.24,269.39,26.14,19.68,19.68,26.19,26.19
N4331250W08333250,436.10,73.60,"3,809.65",394.24,269.39,26.14,19.68,19.68,26.19,26.19
N4331250W08331750,436.10,73.60,"3,809.65",394.24,269.39,26.14,19.68,19.68,26.19,26.19
N4331250W08330250,435.85,73.01,"3,833.55",396.72,269.46,27.29,19.68,19.68,26.19,26.19
N4331250W08328750,434.45,69.58,"3,972.89",411.14,269.82,34.05,19.68,19.68,26.19,26.19
N4331250W08327250,434.19,68.93,"3,999.21",413.86,269.89,35.32,19.68,19.68,26.19,26.19
N4331250W08325750,434.19,68.93,"3,999.21",413.86,269.89,35.32,19.68,19.68,26.19,26.19
